n_players,n_passes_completed,pass_attempts,completion_rate,density_dir,reciprocity,mean_out_deg,mean_in_deg,global_clustering,assortativity,n_communities,modularity,mean_deg_cent,max_deg_cent,mean_betw,max_betw,mean_close,max_close,mean_eigen,max_eigen,algebraic_conn,spectral_gap,mean_pass_len,forward_ratio,mean_progression,mean_start_x,mean_end_x,side_bias,lateral_ratio,pct_pass_by_DEF,pct_pass_by_GK,pct_pass_by_MID,pct_pass_by_FWD,team_id,team,cluster,proto
16,1760,1760,1.0,0.8333333333333334,0.93,110.0,110.0,0.9024571854058079,-0.14370546318291041,2,0.13979790805785117,0.8916666666666667,1.0,0.07767857142857143,0.3126984126984127,0.9093027836134453,1.0,0.20054722853230006,0.5182544833212108,0.6326474973636127,0.0508667298598211,18.674131508980516,0.4596590909090909,4.396590909090909,63.127272727272725,67.52386363636364,-0.061406249999999926,0.6953122043466716,0.0,0.0,1.0,0.0,781,Brazil,3,high-connectivity
15,995,995,1.0,0.6238095238095238,0.8091603053435115,66.33333333333333,66.33333333333333,0.8714462299134734,-0.2171185986919995,2,0.09807782631751732,0.742857142857143,1.0,0.09185592185592184,0.3474358974358974,0.8167631623049582,1.0,0.2137782733894577,0.42934701519315077,0.7339706539177345,0.12041189202549507,21.551722768425307,0.46331658291457284,6.240201005025126,56.28743718592965,62.527638190954775,0.011381909547738722,0.6520317212296269,0.0,0.0,1.0,0.0,773,Switzerland,2,balanced
17,776,776,1.0,0.5992647058823529,0.8220858895705522,45.64705882352941,45.64705882352941,0.8,-0.2234848484848466,2,0.1028503294717823,0.7058823529411765,1.0,0.07845588235294118,0.21791666666666668,0.791551636147932,1.0,0.20502155983819592,0.45635972213478754,0.7050980266837877,0.09206801530551334,21.791469230815895,0.4742268041237113,6.673969072164948,60.44329896907217,67.11726804123711,-0.06137242268041234,0.6512285231631243,0.0,0.0,1.0,0.0,794,Mexico,2,balanced
18,1302,1302,1.0,0.6470588235294118,0.8686868686868687,72.33333333333333,72.33333333333333,0.7880794701986755,-0.241793305875116,2,0.08728035091941733,0.7320261437908496,1.0,0.08865643479614067,0.3648984593837535,0.8041206307135623,1.0,0.19449955597830443,0.4501710613878944,0.6952297986747443,0.09916856147906472,20.389186446093017,0.4554531490015361,4.092165898617512,71.9431643625192,76.0353302611367,0.0888440860215054,0.6755734978118557,0.0,0.0,1.0,0.0,770,Germany,2,balanced
15,726,726,1.0,0.5952380952380952,0.784,48.4,48.4,0.8431372549019608,-0.1757373400111238,3,0.1054715069553537,0.7238095238095238,0.9285714285714285,0.09105006105006107,0.2750915750915751,0.8030307095725052,0.9333333333333333,0.22449650105757976,0.37935168359474014,0.683463121880201,0.10214970796540412,23.446172323915555,0.522038567493113,8.845730027548209,58.94214876033058,67.78787878787878,0.022727272727272662,0.6407781929908286,0.0,0.0,1.0,0.0,786,Serbia,0,direct-counter
16,682,682,1.0,0.6916666666666667,0.8433734939759037,42.625,42.625,0.8755595344673232,-0.15734005089581657,3,0.06300685408622218,0.7999999999999999,1.0,0.06344246031746033,0.19523809523809527,0.8495385051133638,1.0,0.221439215620468,0.41872748114744335,0.7458958027554726,0.05601518594067412,22.84045269166659,0.46774193548387094,7.683284457478006,56.950146627565985,64.633431085044,-0.0069648093841642835,0.6316843182955567,0.0,0.0,1.0,0.0,795,Costa Rica,1,direct-counter-high-connectivity
17,750,750,1.0,0.5514705882352942,0.76,44.11764705882353,44.11764705882353,0.7664015904572564,-0.24395559275460998,4,0.15262044444444448,0.6838235294117647,0.9375,0.07197712418300653,0.24666666666666667,0.7755896225603969,0.9411764705882353,0.20041031220965733,0.43149101471183476,0.6009646248992169,0.02924070000163259,21.558476956650118,0.4666666666666667,7.158666666666667,59.776,66.93466666666667,-0.05526666666666671,0.6096254343808749,0.0,0.0,1.0,0.0,798,Panama,0,direct-counter
21,2565,2565,1.0,0.6833333333333333,0.8989547038327527,122.14285714285714,122.14285714285714,0.800524934383202,-0.06648016641560886,3,0.19502061413008373,0.7523809523809524,1.0,0.05996240601503758,0.233859649122807,0.80947868804102,1.0,0.17968188969994006,0.41027568677887594,0.38945238645865143,0.12901697251130262,20.86788025886026,0.44951267056530214,5.453021442495126,56.644054580896686,62.097076023391814,0.011959064327485436,0.6669677952265592,0.0,0.0,1.0,0.0,782,Belgium,4,modular
21,2686,2686,1.0,0.669047619047619,0.9252669039145908,127.9047619047619,127.9047619047619,0.8258272058823529,-0.16993885468046407,3,0.1856470549425082,0.7190476190476192,0.9500000000000001,0.06595238095238094,0.23263157894736838,0.7944233188682394,0.9523809523809523,0.16560292354778136,0.4626488475369902,0.3958408819836493,0.012253582877149283,20.655405451301156,0.4419210722263589,4.6537602382725245,58.667907669396875,63.321667907669394,0.014426656738644895,0.6654007421667892,0.0,0.0,1.0,0.0,768,England,4,modular
17,773,773,1.0,0.6139705882352942,0.8502994011976048,45.470588235294116,45.470588235294116,0.7992599444958371,-0.21869932510695023,3,0.08403692540445733,0.7058823529411765,0.9375,0.08305555555555555,0.24944444444444447,0.7905872700406046,0.9411764705882353,0.20182945483465103,0.45632331768539086,0.7495485413226577,0.0424468794073376,21.262671886388205,0.4760672703751617,6.345407503234153,52.53686934023286,58.88227684346701,0.035187580853816236,0.6659446834902029,0.0,0.0,1.0,0.0,777,Tunisia,0,direct-counter
